question,query
What is the elimination number for the time 13:43?,SELECT elimination WHERE time EQL 13:43
What is the elimination number for the time 13:43?,SELECT elimination WHERE time EQL 13:43
What Elimination number is listed againt Eliminated by Sonjay Dutt?,SELECT elimination WHERE eliminated by EQL sonjay dutt
what elimination number is listed for sonjay dutt elimination?,SELECT elimination WHERE eliminated by EQL sonjay dutt
what elimination number is listed in the list eliminated by sonjay dutt?,SELECT elimination WHERE eliminated by EQL sonjay dutt
What Elimination number is listed againt Eliminated by Sonjay Dutt?,SELECT elimination WHERE eliminated by EQL sonjay dutt
which are the elimination numbers of sonjay dutt?,SELECT elimination WHERE eliminated by EQL sonjay dutt
which elimination number is listed in elimination by sonjay dutt?,SELECT elimination WHERE eliminated by EQL sonjay dutt
What is the height for the Shanghai World Plaza?,SELECT height m / ft WHERE name EQL shanghai world plaza
how high is shanghai world plaza?,SELECT height m / ft WHERE name EQL shanghai world plaza
tell me the height of shanghai world plaza?,SELECT height m / ft WHERE name EQL shanghai world plaza
tell me the height of the shanghai world plaza?,SELECT height m / ft WHERE name EQL shanghai world plaza
what is the height of the shanghai world plaza?,SELECT height m / ft WHERE name EQL shanghai world plaza
What's the rank for Daewoo Business Center when the notes are cancelled?,SELECT rank WHERE notes EQL cancelled AND name EQL daewoo business center
What's the rank for Daewoo Business Center when the notes are cancelled?,SELECT rank WHERE notes EQL cancelled AND name EQL daewoo business center
"How many floors have a Height m / feet of 900 / 2,952?","SELECT floors WHERE height m / feet EQL 900 / 2,952"
how many floors have a height of 952?,"SELECT floors WHERE height m / feet EQL 900 / 2,952"
how many floors have a height of 900 feet?,"SELECT floors WHERE height m / feet EQL 900 / 2,952"
how many floors have a height of 900 or 2952?,"SELECT floors WHERE height m / feet EQL 900 / 2,952"
how many floors have a height of 900? 2952?,"SELECT floors WHERE height m / feet EQL 900 / 2,952"
What is the height for shanghai x-1 financial building?,SELECT height m / feet WHERE name EQL shanghai x-1 financial building
What is the height for shanghai x-1 financial building?,SELECT height m / feet WHERE name EQL shanghai x-1 financial building
What is the result of the game against the Chicago Bears?,SELECT result WHERE opponent EQL chicago bears
how was the chicago bears game?,SELECT result WHERE opponent EQL chicago bears
show me the results of a chicago bears game?,SELECT result WHERE opponent EQL chicago bears
can you list the results of the chicago bears game?,SELECT result WHERE opponent EQL chicago bears
show me the results of the game against the chicago bears?,SELECT result WHERE opponent EQL chicago bears
what's the result of the game against the chicago bears?,SELECT result WHERE opponent EQL chicago bears
what was the result of the game against the chicago bears?,SELECT result WHERE opponent EQL chicago bears
what is the result of the game against the chicago bears?,SELECT result WHERE opponent EQL chicago bears
"What was the final score of the game on October 4, 1970?","SELECT result WHERE date EQL october 4, 1970"
what was the final score of the game on 4 october 1970?,"SELECT result WHERE date EQL october 4, 1970"
what was the final score of the game on october 4 1970?,"SELECT result WHERE date EQL october 4, 1970"
"What is the name of the river found in Madhya Pradesh, India?",SELECT name of the river WHERE name of the state where found in india EQL madhya pradesh
tell me the name of the river in madhya pradesh?,SELECT name of the river WHERE name of the state where found in india EQL madhya pradesh
What is the name of the deity that the state of Bihar was named after?,SELECT name of deity WHERE name of the state where found in india EQL bihar
tell me the deity whose name the state of bihar is named after?,SELECT name of deity WHERE name of the state where found in india EQL bihar
tell me the name of the deity after which the state of bihar has been named?,SELECT name of deity WHERE name of the state where found in india EQL bihar
tell me the name of the deity that the state of bihar was named after?,SELECT name of deity WHERE name of the state where found in india EQL bihar
What is the name of the diety for the river of sone?,SELECT name of deity WHERE name of the river EQL sone
What is the name of the diety for the river of sone?,SELECT name of deity WHERE name of the river EQL sone
What was the 1st leg score for the team with an Agg score of 151-134?,SELECT 1st leg WHERE agg. EQL 151-134
What was the 1st leg score for the team with an Agg score of 151-134?,SELECT 1st leg WHERE agg. EQL 151-134
What was the team Unics Kazan's 1st leg score?,SELECT 1st leg WHERE team #1 EQL unics kazan
how was the team unics kazan's first leg result?,SELECT 1st leg WHERE team #1 EQL unics kazan
what was the unics kazan 1st leg score?,SELECT 1st leg WHERE team #1 EQL unics kazan
what was team unics kazan's 1st leg score?,SELECT 1st leg WHERE team #1 EQL unics kazan
Who was the first team when the second team was Kalise Gran Canaria?,SELECT team #1 WHERE team #2 EQL kalise gran canaria
Who was the first team when the second team was Kalise Gran Canaria?,SELECT team #1 WHERE team #2 EQL kalise gran canaria
What is the 1st leg when the 2nd leg was 67-83?,SELECT 1st leg WHERE 2nd leg EQL 67-83
What is the 1st leg when the 2nd leg was 67-83?,SELECT 1st leg WHERE 2nd leg EQL 67-83
Which Team #1 had a 1st leg of 78-78?,SELECT team #1 WHERE 1st leg EQL 78-78
Which Team #1 had a 1st leg of 78-78?,SELECT team #1 WHERE 1st leg EQL 78-78
Who was Team #1 when Team #2 was galatasaray cc i̇stanbul?,SELECT team #1 WHERE team #2 EQL galatasaray cc i̇stanbul
Who was Team #1 when Team #2 was galatasaray cc i̇stanbul?,SELECT team #1 WHERE team #2 EQL galatasaray cc i̇stanbul
"Who is in the south-west next to Vishnu on the east, Durga on the west, and in the center of Ganapati?",SELECT south west WHERE north east EQL vishnu AND north west EQL durga AND center EQL ganapati
"Who is in the south-west next to Vishnu on the east, Durga on the west, and in the center of Ganapati?",SELECT south west WHERE north east EQL vishnu AND north west EQL durga AND center EQL ganapati
Name the team for january 4,SELECT team WHERE date EQL january 4
Name the team for january 4,SELECT team WHERE date EQL january 4
Name the location attendance for january 18,SELECT location attendance WHERE date EQL january 18
choose the location for the january 18 meeting,SELECT location attendance WHERE date EQL january 18
Who is the courtside reporter for the year 2009-10?,SELECT courtside reporter WHERE year EQL 2009-10
who is the official courtside reporter for 2009-10?,SELECT courtside reporter WHERE year EQL 2009-10
who was the courtside reporter for 2009-10?,SELECT courtside reporter WHERE year EQL 2009-10
who is the courtside reporter for 2009-10?,SELECT courtside reporter WHERE year EQL 2009-10
who is the courtside reporter of the year 2009-10?,SELECT courtside reporter WHERE year EQL 2009-10
who is the courtside reporter for the year 2009-2010?,SELECT courtside reporter WHERE year EQL 2009-10
who is the courtside reporter for the year 2009-10?,SELECT courtside reporter WHERE year EQL 2009-10
Who is the studio host for the year 2006-07?,SELECT studio host WHERE year EQL 2006-07
who is the show host for 2006-07?,SELECT studio host WHERE year EQL 2006-07
who's the studio host for 2006-2007?,SELECT studio host WHERE year EQL 2006-07
who is a studio host for 2006-07?,SELECT studio host WHERE year EQL 2006-07
who is the studio host of 2006-07?,SELECT studio host WHERE year EQL 2006-07
who will be the studio host for the year 2006-07?,SELECT studio host WHERE year EQL 2006-07
who was the studio host for the year 2006-07?,SELECT studio host WHERE year EQL 2006-07
who is the studio host for the year 2006-07?,SELECT studio host WHERE year EQL 2006-07
Who are the studio analysts for the year 2008-09?,SELECT studio analysts WHERE year EQL 2008-09
who are studio analysts in 2008-09?,SELECT studio analysts WHERE year EQL 2008-09
who are studio analysts for 2008-09?,SELECT studio analysts WHERE year EQL 2008-09
who is the studio analyst of year 2008-09?,SELECT studio analysts WHERE year EQL 2008-09
who are studio analysts for the year 2008-09?,SELECT studio analysts WHERE year EQL 2008-09
who were the studio analysts for the year 2008-09?,SELECT studio analysts WHERE year EQL 2008-09
who are the studio analysts for the year 2008-09?,SELECT studio analysts WHERE year EQL 2008-09
What is the Onehunga school with a decile 3 and smaller than 310 rolls?,SELECT name WHERE decile EQL 3 AND roll LT 310 AND area EQL onehunga
What is the Onehunga school with a decile 3 and smaller than 310 rolls?,SELECT name WHERE decile EQL 3 AND roll LT 310 AND area EQL onehunga
What is the authority status of the school in Ellerslie with a decile of 7?,SELECT authority WHERE area EQL ellerslie AND decile EQL 7
tell me the authority status of a school in ellerslie with a decile of 7?,SELECT authority WHERE area EQL ellerslie AND decile EQL 7
Name the high rebounds for january 14,SELECT high rebounds WHERE date EQL january 14
Name the high rebounds for january 14,SELECT high rebounds WHERE date EQL january 14
"Name the location attendance for  austin daye , tracy mcgrady , tayshaun prince (20)","SELECT location attendance WHERE high points EQL austin daye , tracy mcgrady , tayshaun prince (20)"
"Name the location attendance for  austin daye , tracy mcgrady , tayshaun prince (20)","SELECT location attendance WHERE high points EQL austin daye , tracy mcgrady , tayshaun prince (20)"
Who had the most assists agains New Orleans?,SELECT high assists WHERE team EQL new orleans
who has the most assists?,SELECT high assists WHERE team EQL new orleans
who has the most assists for new orleans?,SELECT high assists WHERE team EQL new orleans
who had the most assists for new orleans?,SELECT high assists WHERE team EQL new orleans
who had the most assists in new orleans?,SELECT high assists WHERE team EQL new orleans
What's the record in the game where Greg Monroe (8) did the high rebounds?,SELECT record WHERE high rebounds EQL greg monroe (8)
what's the game record where greg monroe got the highest rebounds?,SELECT record WHERE high rebounds EQL greg monroe (8)
Who did the high rebounds in the game in which Rodney Stuckey (16) did the high points?,SELECT high rebounds WHERE high points EQL rodney stuckey (16)
Who did the high rebounds in the game in which Rodney Stuckey (16) did the high points?,SELECT high rebounds WHERE high points EQL rodney stuckey (16)
Who was the opponent in the game in which Austin Daye (16) did the most high points?,SELECT team WHERE high points EQL austin daye (16)
Who was the opponent in the game in which Austin Daye (16) did the most high points?,SELECT team WHERE high points EQL austin daye (16)
"When the apparent magnitude is 10.5, what is the right ascension?",SELECT right ascension ( j2000 ) WHERE apparent magnitude EQL 10.5
is ascending right?,SELECT right ascension ( j2000 ) WHERE apparent magnitude EQL 10.5
tell me the correct ascension?,SELECT right ascension ( j2000 ) WHERE apparent magnitude EQL 10.5
Which Album has a Label of msb 801?,SELECT album WHERE label EQL msb 801
which album has the msb 801 label?,SELECT album WHERE label EQL msb 801
which album is marked as msb 801?,SELECT album WHERE label EQL msb 801
which album has a label mb 801?,SELECT album WHERE label EQL msb 801
which album has a label msb 801?,SELECT album WHERE label EQL msb 801
Which Album has a Label of tumbleweed 1014?,SELECT album WHERE label EQL tumbleweed 1014
which album contains a label for tumbleweed 1014?,SELECT album WHERE label EQL tumbleweed 1014
which album has a label of tumbleweed 1014?,SELECT album WHERE label EQL tumbleweed 1014
Tell me the object type which has an apparent magnitude more than 10.6 and declination of °44′07″,SELECT object type WHERE apparent magnitude GT 10.6 AND declination ( j2000 ) EQL °44′07″
Tell me the declination with apparent magnitude more than 10.4 and NGC number of 5112,SELECT declination ( j2000 ) WHERE apparent magnitude GT 10.4 AND ngc number EQL 5112
What is the name of the constellation that has a NGC number smaller tha 5457?,SELECT constellation WHERE ngc number LT 5457
what constellation has a lower ngc number of 5457?,SELECT constellation WHERE ngc number LT 5457
what constellation has a smaller ngc number of 5457?,SELECT constellation WHERE ngc number LT 5457
which constellation has an ngc number less than 5457?,SELECT constellation WHERE ngc number LT 5457
"Which player was from Western Washington University, played midfield, and was from years after 2009?",SELECT player WHERE school EQL western washington university AND position EQL midfield AND year GT 2009
which player played for the western washington university midfield after 2009?,SELECT player WHERE school EQL western washington university AND position EQL midfield AND year GT 2009
which player was from western washington university that played midfield?,SELECT player WHERE school EQL western washington university AND position EQL midfield AND year GT 2009
which player played from western washington university in midfield after 2009?,SELECT player WHERE school EQL western washington university AND position EQL midfield AND year GT 2009
Which team was Bubba Vanegdom from?,SELECT team WHERE player EQL bubba vanegdom
which team was bubba vanegdom a part of?,SELECT team WHERE player EQL bubba vanegdom
which team was bubba vanegdom from?,SELECT team WHERE player EQL bubba vanegdom
What was the position of the player from Pacific Lutheran University named Greg Fredlund in years after 2010?,SELECT position WHERE school EQL pacific lutheran university AND player EQL greg fredlund AND year GT 2010
what was the position of greg fredlund from pacific lutheran university in the years after 2010?,SELECT position WHERE school EQL pacific lutheran university AND player EQL greg fredlund AND year GT 2010
What constellation has a Declination ( J2000 ) of °32′39″?,SELECT constellation WHERE declination ( j2000 ) EQL °32′39″
What constellation has a Declination ( J2000 ) of °32′39″?,SELECT constellation WHERE declination ( j2000 ) EQL °32′39″
Tell me the declination with NGC number larger than 5750,SELECT declination ( j2000 ) WHERE ngc number GT 5750
tell me the declination of a ngc number larger than 5750,SELECT declination ( j2000 ) WHERE ngc number GT 5750
How many no votes did North Dakota have?,SELECT no vote WHERE state EQL north dakota
how many non-voting votes did north dakota have?,SELECT no vote WHERE state EQL north dakota
how many non-votes did north dakota have?,SELECT no vote WHERE state EQL north dakota
how many no-votes did north dakota have?,SELECT no vote WHERE state EQL north dakota
how many no votes did north dakota have?,SELECT no vote WHERE state EQL north dakota
What was the date for Colorado?,SELECT date WHERE state EQL colorado
how was the colorado date?,SELECT date WHERE state EQL colorado
what was the colorado date?,SELECT date WHERE state EQL colorado
tell me the date of colorado?,SELECT date WHERE state EQL colorado
tell me the date for colorado?,SELECT date WHERE state EQL colorado
what was the date for colorado?,SELECT date WHERE state EQL colorado
How many no votes from Alaska in 1998?,SELECT no vote WHERE date EQL 1998 AND state EQL alaska
how many alaskans lost their votes in 1998?,SELECT no vote WHERE date EQL 1998 AND state EQL alaska
tell me the percentage of no votes in alaska 1998?,SELECT no vote WHERE date EQL 1998 AND state EQL alaska
how many no votes did alaska get in 1998?,SELECT no vote WHERE date EQL 1998 AND state EQL alaska
What was the Home team when Farnborough Town was the Away team?,SELECT home team WHERE away team EQL farnborough town
which team was the home team when farnborough town was away?,SELECT home team WHERE away team EQL farnborough town
what was the home team when farnborough town was the away team?,SELECT home team WHERE away team EQL farnborough town
What was the Away Team of Blackpool's Home game?,SELECT away team WHERE home team EQL blackpool
what was blackpool's away team's home game?,SELECT away team WHERE home team EQL blackpool
what was the blackpool away team's home game?,SELECT away team WHERE home team EQL blackpool
What was the team's playoff status in 2011?,SELECT playoffs WHERE year EQL 2011
was the team in a playoff in 2011?,SELECT playoffs WHERE year EQL 2011
what was the team's postseason status in 2011?,SELECT playoffs WHERE year EQL 2011
what was the team's playoff status in 2011?,SELECT playoffs WHERE year EQL 2011
What was the team's league in 2010?,SELECT league WHERE year EQL 2010
what league did the team have in 2010?,SELECT league WHERE year EQL 2010
"What is the league name for the regular season status of 2nd, mid atlantic?","SELECT league WHERE regular season EQL 2nd, mid atlantic"
tell me the title of the 2nd mid atlantic league?,"SELECT league WHERE regular season EQL 2nd, mid atlantic"
What was the broadcast date of episodes that were watched by 23.2 million viewers?,SELECT original air date WHERE u.s. viewers (millions) EQL 23.2
"What is the original air date of the episode titled ""The one where Chandler doesn't like dogs""?","SELECT original air date WHERE title EQL ""the one where chandler doesn't like dogs"""
the one where chandler doesn't like dogs?,"SELECT original air date WHERE title EQL ""the one where chandler doesn't like dogs"""
Which home team played in the matchup with an away team of Liverpool?,SELECT home team WHERE away team EQL liverpool
which team played with liverpool's away team in the matchup?,SELECT home team WHERE away team EQL liverpool
which home team played in the game against the away team of liverpool?,SELECT home team WHERE away team EQL liverpool
What was the date of tie number 5?,SELECT date WHERE tie no EQL 5
when was the tie number 5?,SELECT date WHERE tie no EQL 5
Who was the away team for tie number 9?,SELECT away team WHERE tie no EQL 9
Who was the away team for tie number 9?,SELECT away team WHERE tie no EQL 9
What is the away team where the home team is Coventry City?,SELECT away team WHERE home team EQL coventry city
which is the away team when the home team is coventry city?,SELECT away team WHERE home team EQL coventry city
What is the score where the away team is Exeter City?,SELECT score WHERE away team EQL exeter city
What is the score where the away team is Exeter City?,SELECT score WHERE away team EQL exeter city
How many ties does Walsall have?,SELECT tie no WHERE away team EQL walsall
how many ties do walsall have?,SELECT tie no WHERE away team EQL walsall
how many ties does walsall have?,SELECT tie no WHERE away team EQL walsall
What date was parliament assembled when John rudhale was first member?,SELECT assembled WHERE first member EQL john rudhale
when did john rudhale first start as parliamentarian?,SELECT assembled WHERE first member EQL john rudhale
when was the first session of parliament?,SELECT assembled WHERE first member EQL john rudhale
when was the first assembly of the parliament?,SELECT assembled WHERE first member EQL john rudhale
at what date was the first time the parliament was assembled?,SELECT assembled WHERE first member EQL john rudhale
What is the title of the episode with production code 2alf03?,SELECT title WHERE production code EQL 2alf03
tell me the title of the episode 2alf03?,SELECT title WHERE production code EQL 2alf03
show me the title of the episode 2alf03?,SELECT title WHERE production code EQL 2alf03
tell me the name of the episode with the production code 2alf03?,SELECT title WHERE production code EQL 2alf03
tell me the title of the episode with the production code 2alf03?,SELECT title WHERE production code EQL 2alf03
what is the title of the episode with the code 2alf03?,SELECT title WHERE production code EQL 2alf03
show me the title of this episode with production code 2alf03?,SELECT title WHERE production code EQL 2alf03
tell me the title of the episode with production code 2alf03?,SELECT title WHERE production code EQL 2alf03
what is the title of the episode with the production code 2alf03?,SELECT title WHERE production code EQL 2alf03
What was the rank (week) for episode number 34?,SELECT rank (week) WHERE no. EQL 34
what was the ranking week for episode 34?,SELECT rank (week) WHERE no. EQL 34
When classic hits 102.1 cjcy is the branding who is the owner?,SELECT owner WHERE branding EQL classic hits 102.1 cjcy
When hot adult contemporary is the format what is the call sign?,SELECT call sign WHERE format EQL hot adult contemporary
what's the call sign of a hot adult contemporary?,SELECT call sign WHERE format EQL hot adult contemporary
what is a call sign? when is hot adult contemporary?,SELECT call sign WHERE format EQL hot adult contemporary
which call sign is the hot adult contemporary?,SELECT call sign WHERE format EQL hot adult contemporary
Who wrote the story that is cover date 19 October 1985?,SELECT writer/s WHERE cover date EQL 19 october 1985
who wrote the article with the cover date october 19 1985?,SELECT writer/s WHERE cover date EQL 19 october 1985
who wrote the story with the cover date october 19 1985?,SELECT writer/s WHERE cover date EQL 19 october 1985
who wrote the story that was covered october 19 1985?,SELECT writer/s WHERE cover date EQL 19 october 1985
What is the comment on the issue dated 14 March 1987?,SELECT comments WHERE cover date EQL 14 march 1987
what is your comment on the 14 march 1987 issue?,SELECT comments WHERE cover date EQL 14 march 1987
what is your opinion on the issue of march 14 1987?,SELECT comments WHERE cover date EQL 14 march 1987
what are your views on the issue dated march 14 1987?,SELECT comments WHERE cover date EQL 14 march 1987
what is your opinion on the issue dated march 14 1987?,SELECT comments WHERE cover date EQL 14 march 1987
can you list the comment on the issue dated march 14 1987?,SELECT comments WHERE cover date EQL 14 march 1987
Who won the men's doubles before 1979 when carol silman prina ben shushan won the women's doubles?,SELECT men's doubles WHERE year LT 1979 AND women's doubles EQL carol silman prina ben shushan
Who won the men's doubles before 1979 when carol silman prina ben shushan won the women's doubles?,SELECT men's doubles WHERE year LT 1979 AND women's doubles EQL carol silman prina ben shushan
How many silver medals were won in 1938?,SELECT silver WHERE year EQL 1938
what silver medals were won in 1938?,SELECT silver WHERE year EQL 1938
how many silver medals won in 1938?,SELECT silver WHERE year EQL 1938
how many silver medals were won in 1938?,SELECT silver WHERE year EQL 1938
How many gold medals were won in 1970?,SELECT gold WHERE year EQL 1970
what many gold medals did we win in 1970?,SELECT gold WHERE year EQL 1970
how many gold medals won in 1970?,SELECT gold WHERE year EQL 1970
how many gold medals were won in 1970?,SELECT gold WHERE year EQL 1970
How many silver medals were won the year 7 gold medals were won?,SELECT silver WHERE gold EQL 7
tell me the number of silver medals won in one year?,SELECT silver WHERE gold EQL 7
What is the Winning Team with Rick Mears' and Kraco Twin 125 (R1)?,SELECT winning team WHERE winning driver EQL rick mears AND name EQL kraco twin 125 (r1)
what would be the winning team in a kraco twin 125 r1?,SELECT winning team WHERE winning driver EQL rick mears AND name EQL kraco twin 125 (r1)
what was the winning team with rick mears and kraco twin 125 r1?,SELECT winning team WHERE winning driver EQL rick mears AND name EQL kraco twin 125 (r1)
What is Penske Racing's name?,SELECT name WHERE winning team EQL penske racing
tell me the name of penske racing?,SELECT name WHERE winning team EQL penske racing
what is penske racing?,SELECT name WHERE winning team EQL penske racing
tell me the penske racing name?,SELECT name WHERE winning team EQL penske racing
how is penske racing named?,SELECT name WHERE winning team EQL penske racing
"Who is the winning driver of Penske Racing, and what was Rick Mears' pole position?",SELECT winning driver WHERE winning team EQL penske racing AND pole position EQL rick mears
who are the winners of penske racing?,SELECT winning driver WHERE winning team EQL penske racing AND pole position EQL rick mears
who is the winning driver in penske racing?,SELECT winning driver WHERE winning team EQL penske racing AND pole position EQL rick mears
who is the winning driver of penske racing?,SELECT winning driver WHERE winning team EQL penske racing AND pole position EQL rick mears
What is the status when the against is 11?,SELECT status WHERE against EQL 11
tell me the status of against 11?,SELECT status WHERE against EQL 11
What was the venue for the game played on 13/02/1954?,SELECT venue WHERE date EQL 13/02/1954
"What was the venue for the game played on 16/01/1954, when the against was more than 3?",SELECT venue WHERE against GT 3 AND date EQL 16/01/1954
"What was the venue for the game played on 16/01/1954, when the against was more than 3?",SELECT venue WHERE against GT 3 AND date EQL 16/01/1954
What party is class 1 in wisconsin?,SELECT party WHERE class EQL 1 AND state EQL wisconsin
tell me the class 1 party in wisconsin?,SELECT party WHERE class EQL 1 AND state EQL wisconsin
which party is class 1 in wisconsin?,SELECT party WHERE class EQL 1 AND state EQL wisconsin
what party is class 1 in wisconsin?,SELECT party WHERE class EQL 1 AND state EQL wisconsin
What state was maria cantwell born in after 1955?,SELECT state WHERE born GT 1955 AND name EQL maria cantwell
in what state was maria cantwell born in?,SELECT state WHERE born GT 1955 AND name EQL maria cantwell
What is the date when France is the opposing team?,SELECT date WHERE opposing teams EQL france
what's the date of opposition in france?,SELECT date WHERE opposing teams EQL france
what is the date when france is against the other team?,SELECT date WHERE opposing teams EQL france
what is a date when france becomes the opposition team?,SELECT date WHERE opposing teams EQL france
"What is the venue with more than 3 against, and South Africa is the opposing team?",SELECT venue WHERE against GT 3 AND opposing teams EQL south africa
"What is the venue with more than 3 against, and South Africa is the opposing team?",SELECT venue WHERE against GT 3 AND opposing teams EQL south africa
What is the venue for the Status of Five Nations and 0 againts?,SELECT venue WHERE status EQL five nations AND against EQL 0
What is the venue for the Status of Five Nations and 0 againts?,SELECT venue WHERE status EQL five nations AND against EQL 0
What is the constructor on the team with 8 rounds and a chassis of 156 158 1512?,SELECT constructor WHERE rounds EQL 8 AND chassis EQL 156 158 1512
What is the constructor on the team with 8 rounds and a chassis of 156 158 1512?,SELECT constructor WHERE rounds EQL 8 AND chassis EQL 156 158 1512
"Who is the driver of the team with tyre d, bt11 chassis, and 8 rounds?",SELECT driver WHERE tyre EQL d AND chassis EQL bt11 AND rounds EQL 8
who is the driver of team tn11?,SELECT driver WHERE tyre EQL d AND chassis EQL bt11 AND rounds EQL 8
What is the Tyre for the united states grand prix?,SELECT tyre WHERE race EQL united states grand prix
tell me the tyre for the us grand prix?,SELECT tyre WHERE race EQL united states grand prix
tell me the tyre of the united states grand prix?,SELECT tyre WHERE race EQL united states grand prix
tell me the tyre for the united states grand prix?,SELECT tyre WHERE race EQL united states grand prix
what is the tyre for the united states grand prix?,SELECT tyre WHERE race EQL united states grand prix
What are the quarterfinalists when the runner up is andrew pattison?,SELECT quarterfinalists WHERE runner-up EQL andrew pattison
